0,200
1,197
2,195
3,192
4,192
5,189
6,186
7,183
8,180
9,177
10,176
11,175
12,174
13,173
14,171
15,170
16,168
17,166
18,165
19,164
20,163
21,158
22,156
23,155
24,154
25,152
26,151
27,150
28,149
29,147
30,145
31,145
32,144
33,144
34,143
35,142
36,142
37,141
38,140
39,139
40,138
41,135
42,134
43,133
44,130
45,128
46,127
47,126
48,126
49,123
50,122
51,122
52,117
53,117
54,116
55,115
56,114
57,113
58,113
59,112
60,110
61,108
62,107
63,107
64,105
65,104
66,104
67,104
68,103
69,102
70,102
71,102
72,101
73,101
74,99
75,98
76,98
77,98
78,97
79,95
80,94
81,94
82,93
83,92
84,92
85,91
86,90
87,90
88,88
89,87
90,87
91,87
92,84
93,84
94,80
95,79
96,78
97,78
98,77
99,76
100,75
101,74
102,73
103,73
104,73
105,72
106,71
107,68
108,67
109,67
110,67
111,66
112,65
113,65
114,65
115,65
116,65
117,65
118,65
119,65
120,63
121,63
122,61
123,61
124,59
125,59
126,58
127,57
128,56
129,56
130,55
131,55
132,53
133,51
134,50
135,49
136,48
137,48
138,48
139,47
140,46
141,44
142,44
143,44
144,43
145,42
146,41
147,41
148,41
149,41
150,41
151,41
152,41
153,40
154,39
155,38
156,37
157,36
158,35
159,35
160,34
161,34
162,34
163,34
164,34
165,34
166,34
167,34
168,33
169,33
170,33
171,33
172,32
173,31
174,31
175,30
176,30
177,30
178,30
179,30
180,30
181,30
182,29
183,29
184,29
185,29
186,29
187,29
188,29
189,29
190,29
191,28
192,28
193,28
194,27
195,27
196,27
197,26
198,26
199,26
200,26
